CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge,stars,forks,auth_tot,authors,commits,comments,PR_open,days_inactive,avg_resp_time,med_resp_time,avg_longevity_days,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:,alexa_rank,geo_rmse,geo_mae
3928,392,IDEX,IDEX,https://idex.io/,,https://github.com/idexio/idex-sdk-js,y,,idexio/idex-sdk-js,github,29,19,12,3.67,18,27.67,6.67,10.76,26.58,4.96,418.4,TypeScript,36,4,11,4,1.2,25,26,26,1,231,0.44088,102860,0.31096613,0.193621047
7692,393,e-Radix,EXRD,https://www.radixdlt.com/,https://radixtokens.com/,https://github.com/radixdlt/radixdlt,y,,radixdlt/radixdlt,github,109,33,29,9.67,257.33,173.67,26.33,0.838,3.42,0.69,164.21,Java,56,0,53,6,5,13,8,7,0.6,73,0.50912,83076,0.310643396,0.199511736
6748,394,Centrifuge,CFG,https://centrifuge.io/,,https://github.com/centrifuge/centrifuge-chain,y,,centrifuge/centrifuge-chain,github,109,67,40,9.33,249.67,173,22.67,0.035,24.58,7.06,206.24,Rust,43,0,23,4,5.4,17,194,133,1.4,20,0.50477,76595,0.327896968,0.196008465
10052,395,Gitcoin,GTC,https://gitcoin.co/,,https://github.com/gitcoinco/gitcoinco,y,,gitcoinco/gitcoinco,github,332,74,135,3,0,1.33,1,0.758,0.24,0.18,164.75,None,64,45,1,1,0,0,3,0,0.3,3,0.1072,24205,0.391630143,0.247467382
3816,396,Verasity,VRA,https://www.verasity.io/,https://verasity.tv,https://github.com/verasitytech/SmartContracts,y,,verasitytech/SmartContracts,github,7,1,1,0,0,0,0,31.817,0,0,0,JavaScript,57,57,1,0,0,0,0,0,0,0,0.01915,47781,0.391630143,0.247467382
5824,397,Smooth Love Potion,SLP,https://axieinfinity.com/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,623,,
2930,398,Everipedia,IQ,https://everipedia.org/,,https://github.com/EveripediaNetwork/Everipedia,y,,EveripediaNetwork/Everipedia,github,176,115,20,1,2,0,0,4.717,14.23,0.62,290.8,C++,62,17,10,3,0,0,0,0,0,28,0.22537,16373,0.336482987,0.207314013
8384,399,Clover Finance,CLV,https://clover.finance/,,https://github.com/clover-network/clover,y,,clover-network/clover,github,99,38,23,3.67,21.67,2,5,2.188,8.94,1,98.26,Rust,29,13,6,0,0,11,1,1,0,37,0.1916,92596,0.41698703,0.267971396
5810,400,bZx Protocol,BZRX,https://bzx.network/,,exclude,y,,,,,,,,,,,,,,,,,,,,,,,,,,,417587,,
4039,401,ARPA Chain,ARPA,https://arpachain.io/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,593304,,
5380,402,HUNT,HUNT,https://token.hunt.town/,https://review.hunt.town/,https://github.com/Steemhunt/mint.club-contract,y,,Steemhunt/mint.club-contract,github,58,7,2,2,3,0.5,0,5.85,0.16,0.16,101,Solidity,21,6,1,0,0,3,0,0,0,0,0.07198,2062695,0.423998299,0.273867771
7320,403,Neutrino Token,NSBT,https://neutrino.at/,,https://github.com/waves-exchange/neutrino-contract,y,,waves-exchange/neutrino-contract,github,8,7,5,0,0,0,0,0.374,30.48,3.09,260.17,JavaScript,32,8,10,2,0.2,7,0,0,0,0,0.19223,285836,0.299884926,0.191249369
6756,404,Acala Token,ACA,https://acala.network/,,https://github.com/AcalaNetwork/Acala,y,,AcalaNetwork/Acala,github,631,274,110,22.33,308,244,53.67,0.103,10.15,0.85,183.98,Rust,41,0,35,3,7.7,31,103,84,0.8,0,0.44206,16749,0.406020828,0.259087196
4807,405,CertiK,CTK,https://www.shentu.technology/,,https://github.com/ShentuChain/shentu,y,,ShentuChain/shentu,github,5,9,8,5,29.33,23,6,3.34,8.78,0.64,45.5,,,,,,,,,,,,,249352,0.338014226,0.198105205
2424,406,SingularityNET,AGIX,https://singularitynet.io/,,https://github.com/singnet/snet-dapp,y,,singnet/snet-dapp,github,31,110,35,2,6,5,2,102.081,0.59,0.1,350.59,JavaScript,37,7,23,4,2.5,0,0,0,0,105,0.30993,187861,0.432140184,0.280838352
5601,407,STAKE,STAKE,http://xdaichain.com/,,https://github.com/xdaichain/easy-staking-contracts,y,,xdaichain/easy-staking-contracts,github,95,43,6,1,0,0,1,5.73,0,0,120.88,JavaScript,33,30,4,0,0,1,4,0,0,9,0.1115,83833,0.334226723,0.205800715
8037,408,Terra Virtua Kolect,TVK,https://terravirtua.io/,,exclude,y,,,,,,,,,,,,,,,,,,,,,,,,,,,67152,,
7585,409,Freeway Token,FWT,https://freeway.io/,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,891718,,
8119,410,SafePal,SFP,https://www.safepal.io,,exclude,y,,,,,,,,,,,,,,,,,,,,,,,,,,,36554,,
8245,411,Hydra,HYDRA,https://hydrachain.org/,,https://github.com/Hydra-Chain/node,y,,Hydra-Chain/node,github,18,3,14,2.5,3,0,1,0.612,0.09,0.09,41.88,C++,163,0,619,4,1.1,5,2,0,0,7,0.46372,297987,0.359063246,0.213310359
7411,412,Covalent,CQT,https://www.covalenthq.com/,,https://github.com/covalenthq/bsp-agent,y,,covalenthq/bsp-agent,github,4,1,4,2,17,0,4,1.081,5.86,3.89,22.67,Go,17,1,6,2,5.1,12,22,19,0.9,8,0.34711,78051,0.347528711,0.219451679
11222,413,Wrapped NCG (Nine Chronicles Gold),WNCG,https://nine-chronicles.com/,,https://github.com/planetarium/NineChronicles,y,,planetarium/NineChronicles,github,196,87,42,16.67,234.33,67,64,0.981,3.74,0.11,189.16,C#,17,0,27,1,52.2,92,450,438,0.4,117,0.50751,74024,0.423430589,0.273474689
3637,414,Aergo,AERGO,https://www.aergo.io/,,https://github.com/aergoio/aergo,y,,aergoio/aergo,github,201,87,24,1.5,2.5,0.67,0.5,0.691,9.09,9.09,509.37,C,54,2,24,4,0.8,3,4,1,0.8,11,0.35939,762485,0.428683745,0.284521625
